,lat,long,cluster_coordinates
1073483,34.032445,-118.250631,0
1074555,34.062221,-118.447384,1
1078035,34.050816,-118.240372,0
1078807,34.052471,-118.258358,0
1079625,34.038637,-118.254337,0
1081545,34.053454,-118.254497,0
1082380,34.096905,-118.326532,2
1083499,34.095232,-118.326254,2
1084008,34.043077,-118.263886,0
1085241,34.047913,-118.25964,0
1087097,34.03239,-118.25049,0
1088271,34.050635,-118.250889,0
1088870,34.060529,-118.442109,1
1089872,34.062491,-118.444287,1
1091768,34.047034,-118.260165,0
1093119,34.051344,-118.245829,0
1094066,34.042775,-118.260505,0
1094833,34.061526,-118.444215,1
1096105,34.052625,-118.253824,0
1097224,34.047689,-118.259578,0
1098163,34.063826,-118.441847,1
1098718,34.033348,-118.254908,0
1099939,34.045596,-118.251207,0
1100885,34.066399,-118.236232,0
1101860,34.045605,-118.261763,0
1102818,34.044491,-118.2487,0
1106363,34.061462,-118.4474,1
1108022,34.052237,-118.248431,0
1109175,34.031692,-118.250292,0
1109634,34.038095,-118.262764,0
1110070,34.034593,-118.250265,0
1110557,34.045293,-118.26208,0
1111891,34.047658,-118.245745,0
1112635,34.03314,-118.251673,0
1113326,34.095325,-118.326354,2
1113771,34.042166,-118.252448,0
1114965,34.063344,-118.239148,0
1117087,34.034318,-118.250031,0
1118180,34.048535,-118.247964,0
1119698,34.065976,-118.236269,0
1120587,34.065927,-118.236304,0
1121530,34.03778,-118.261912,0
1122084,34.034207,-118.253095,0
1125442,34.034581,-118.252801,0
1128353,34.043979,-118.255154,0
1129175,34.033922,-118.253788,0
1131720,34.037853,-118.26043,0
1133057,34.033601,-118.252981,0
1135271,34.033311,-118.252685,0
1137360,34.033266,-118.253514,0
1140933,34.063391,-118.239124,0
1141753,34.042143,-118.2613,0
1143160,34.048605,-118.248077,0
1144519,34.061587,-118.240251,0
1145835,34.044917,-118.247164,0
1148336,34.039919,-118.253607,0
1149732,34.060027,-118.250771,0
1151103,34.045311,-118.260545,0
1153779,34.039355,-118.257783,0
1154333,34.059957,-118.443058,1
1155246,34.045417,-118.261667,0
1155909,34.034384,-118.250166,0
1157192,34.045358,-118.245456,0
1158118,34.044313,-118.2484,0
1160231,34.046499,-118.250579,0
1161181,34.045343,-118.260592,0
1164010,34.063103,-118.240364,0
1166084,34.062957,-118.240313,0
1169050,34.040651,-118.257245,0
1170667,34.045393,-118.265278,0
1171900,34.099713,-118.325638,2
1172813,34.04636,-118.253908,0
1174185,34.034392,-118.249856,0
1175036,34.045219,-118.246159,0
1176597,34.063693,-118.24066,0
1177338,34.062122,-118.2375,0
1179019,34.045453,-118.25475,0
1180043,34.038592,-118.25868,0
1180773,34.066942,-118.236125,0
1181834,34.038632,-118.251658,0
1186707,34.04209,-118.261342,0
1187315,34.062044,-118.237272,0
1188602,34.046704,-118.242944,0
1189797,34.037765,-118.259107,0
1190634,34.045412,-118.260978,0
1192453,34.043052,-118.25254,0
1193394,34.045625,-118.251396,0
1196034,34.064013,-118.441832,1
1196506,34.060331,-118.446139,1
1199502,34.038209,-118.253746,0
1200814,34.038174,-118.253703,0
1202508,34.03732,-118.261701,0
1204353,34.049828,-118.246153,0
1205287,34.062453,-118.447337,1
1207425,34.039071,-118.254629,0
1208314,34.050599,-118.247344,0
1209309,34.065692,-118.236467,0
1210268,34.033519,-118.251229,0
1211359,34.05114,-118.251165,0
1212798,34.043795,-118.238222,0
1213754,34.03734,-118.257903,0
1214289,34.038943,-118.261334,0
1215351,34.063406,-118.24059,0
1216303,34.035527,-118.251305,0
1217430,34.0617,-118.237906,0
1218501,34.036716,-118.254356,0
1219595,34.033466,-118.255379,0
1221687,34.046794,-118.258689,0
1222063,34.045833,-118.238557,0
1224428,34.051503,-118.252501,0
1224864,34.063387,-118.237678,0
1226303,34.038739,-118.263895,0
1228976,34.03604,-118.251475,0
1229553,34.033545,-118.255263,0
1231637,34.057454,-118.254714,0
1232346,34.062493,-118.444505,1
1233535,34.046932,-118.244474,0
1234240,34.046884,-118.244501,0
1235096,34.044221,-118.248556,0
1238591,34.03719,-118.258647,0
1239130,34.067442,-118.235008,0
1239897,34.04471,-118.239511,0
1240860,34.098756,-118.325058,2
1241498,34.062664,-118.446035,1
1242813,34.047625,-118.245794,0
1244232,34.051934,-118.252418,0
1244844,34.047332,-118.245901,0
1246206,34.059433,-118.445036,1
1248562,34.038941,-118.251768,0
1249428,34.039808,-118.252947,0
1252075,34.046507,-118.242399,0
1252886,34.040534,-118.250071,0
1254521,34.039381,-118.251301,0
1254838,34.039193,-118.251499,0
1256403,34.059939,-118.444741,1
1258374,34.038383,-118.252158,0
1258921,34.044937,-118.250137,0
1260271,34.044685,-118.262349,0
1261571,34.051189,-118.245976,0
1262493,34.03341,-118.253663,0
1263942,34.038959,-118.252021,0
1264349,34.062499,-118.445906,1
1266074,34.043359,-118.26359,0
1266907,34.061147,-118.444304,1
1267892,34.050518,-118.247219,0
1268967,34.062235,-118.237827,0
1275272,34.047304,-118.25821,0
